Id,Label,0,1,2,3,4,5,6,7
AS63737,AS63737,VN_ASN,8.416,63737,VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED,"AS63737
VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED","#8E44AD",transit,
AS63739,AS63739,VN_ASN,8.416,63739,VIETPN Company Limited,"AS63739
VIETPN Company Limited","#8E44AD",transit,
AS63740,AS63740,VN_ASN,8.208,63740,TOCDOSOVN-VN,"AS63740
TOCDOSOVN-VN","#BDC3C7",stub,
AS63741,AS63741,VN_ASN,9.04,63741,DCNET TELECOM,"AS63741
DCNET TELECOM","#8E44AD",transit,
AS63742,AS63742,VN_ASN,8.416,63742,BIDV Securities joint stock company,"AS63742
BIDV Securities joint stock company","#8E44AD",transit,
AS63743,AS63743,VN_ASN,8.832,63743,VietNam payment solution joint stock company,"AS63743
VietNam payment solution joint stock company","#8E44AD",transit,
AS63746,AS63746,VN_ASN,8.208,63746,Institute of Information Technology (IOIT),"AS63746
Institute of Information Technology (IOIT)","#BDC3C7",stub,
AS63747,AS63747,VN_ASN,8.832,63747,Central Post and Telecommunication (CPT),"AS63747
Central Post and Telecommunication (CPT)","#8E44AD",transit,
AS63749,AS63749,VN_ASN,8.416,63749,Luxoft VietNam Company LTD,"AS63749
Luxoft VietNam Company LTD","#8E44AD",transit,
AS63751,AS63751,VN_ASN,8.832,63751,Vietcombank securities Company limited,"AS63751
Vietcombank securities Company limited","#8E44AD",transit,
AS63752,AS63752,VN_ASN,8.416,63752,Department of Science and Technology of Phu Tho province,"AS63752
Department of Science and Technology of Phu Tho province","#8E44AD",transit,
AS63753,AS63753,VN_ASN,8.416,63753,Viet Nam Lottery One Member Company Limited,"AS63753
Viet Nam Lottery One Member Company Limited","#8E44AD",transit,
AS63754,AS63754,VN_ASN,8.624,63754,VMG MEDIA JOINT STOCK COMPANY,"AS63754
VMG MEDIA JOINT STOCK COMPANY","#8E44AD",transit,
AS63755,AS63755,VN_ASN,8.624,63755,VietNam - Russia joint venture bank,"AS63755
VietNam - Russia joint venture bank","#8E44AD",transit,
AS63756,AS63756,VN_ASN,8.416,63756,VSTV-VN,"AS63756
VSTV-VN","#8E44AD",transit,
AS63758,AS63758,VN_ASN,8.416,63758,VETC Corporation,"AS63758
VETC Corporation","#8E44AD",transit,
AS63759,AS63759,VN_ASN,8.208,63759,TaDu Joint Stock Company,"AS63759
TaDu Joint Stock Company","#BDC3C7",stub,
AS63760,AS63760,VN_ASN,8.832,63760,AZDIGI Corporation,"AS63760
AZDIGI Corporation","#8E44AD",transit,
AS63763,AS63763,VN_ASN,8.416,63763,VCCORP-VN,"AS63763
VCCORP-VN","#8E44AD",transit,
AS63764,AS63764,VN_ASN,8.208,63764,INCOM SAI GON JOINT STOCK COMPANY,"AS63764
INCOM SAI GON JOINT STOCK COMPANY","#BDC3C7",stub,
AS63765,AS63765,VN_ASN,8.624,63765,HOSTVN Technology Solutions Joint Stock Company,"AS63765
HOSTVN Technology Solutions Joint Stock Company","#8E44AD",transit,
AS63766,AS63766,VN_ASN,8.624,63766,VEGAGAME-VN,"AS63766
VEGAGAME-VN","#8E44AD",transit,
AS63767,AS63767,VN_ASN,8.416,63767,"1st Floor, Machinci Tower, 444 Hoang Hoa Tham, Thuy Khue, Tay Ho, HaNoi","AS63767
1st Floor, Machinci Tower, 444 Hoang Hoa Tham, Thuy Khue, Tay Ho, HaNoi","#8E44AD",transit,
