asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member
135907,"VI NA Host Co., ltd",VN,VINAHOST-AS-VN,78608,1,0,0,0,0,0,False
135908,ECONET VIETNAM CORPORATION,VN,ECONET-AS-VN,39683,1,4,1,0,0,0,True
135909,Information Technology Park - Vietnam National University Ho Chi Minh City,VN,VNUHCM-AS-VN,36223,1,6,2,0,0,0,True
135910,"INTELLIGENCE INFORMATION SYSTEM CO, LTD",VN,ISYSTEM-AS-VN,67211,1,1,1,0,0,0,True
135911,VietNam maritime commercial joint stock bank,VN,MSB-AS-VN,36223,1,5,2,0,0,0,True
135912,VNETWORK Joint Stock Company,VN,VNETWORK-AS-VN,44930,1,3,3,0,0,0,True
135913,MB Ages life insurance company limited,VN,MBAGEAS-AS-VN,39683,1,4,1,0,0,0,True
135914,Quang Trung Software City Development Company,VN,QTSC-AS-VN,78608,1,0,0,0,0,0,False
135915,"8 Floor, 96-98 Dao Duy Anh, Phu Nhuan, HCMC",VN,TLSOFT-AS-VN,27816,1,2,1,0,0,0,True
135916,"descr: No. 14, 256 Bach Dang, Chuong Duong, Hoan Kiem, Hanoi",VN,KIENPHONGITS-AS-VN,27816,1,8,1,0,0,0,True
135917,Cong ty TNHH Web Panda,VN,WEBPANDA-AS-VN,39683,1,1,1,0,0,0,True
135918,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,VN,DVS-AS-VN,7726,2,174,2,0,1,3,True
135919,MB SHINSEI Finance Limited Liability Company,VN,MCREDIT-AS-VN,35029,1,6,3,0,0,0,True
135920,Ehost software company limited,VN,EHOST-AS-VN,32281,1,5,1,0,0,0,True
135921,Maxserver Company Limited,VN,MAXSERVER-AS-VN,24197,1,3,1,0,0,0,True
135922,Clearsky Service Solutions Company Limited,VN,CLEARSKY-AS-VN,39683,1,5,1,0,0,0,True
135923,SCTV INFRASTRUCTURE BUSINESS INVESMENT COMPANY LIMITED,VN,SCTVIBI-AS-VN,39683,1,4,1,0,0,0,True
135924,FWD Vietnam Life Insurance Company Limited,VN,FWD-AS-VN,36223,1,1,2,0,0,0,True
135925,"16 Au Co, Tan Son Nhi Ward, Tan Phu District, Ho Chi Minh city (EVNSPC Building)",VN,EVNSPC-AS-VN,35029,1,5,3,0,0,0,True
135926,Phu Nhuan Jewelry Joint Stock Company,VN,PNJ-AS-VN,36223,1,5,2,0,0,0,True
135927,Phu Quoc Petroleum Operating Company,VN,PQPOC-AS-VN,36223,1,1,2,0,0,0,True
135928,Digital Convergence Technology Solutions Company Limited,VN,HOITUSO-AS-VN,11005,2,7,1,0,1,2,True
135929,International Education Corporation,VN,COGNITA-AS-VN,36223,1,5,2,0,0,0,True
135930,Anycast Networks (VN),VN,HST-AS-VN,78608,1,0,0,0,0,0,False
135931,,VN,AS135931,78608,1,0,0,0,0,0,False
135932,Viet Storage Technology Joint Stock Company,VN,VNDATA-AS-VN,21529,1,11,4,0,0,0,True
135933,Bac A Commercial Joint Stock Bank,VN,BACABANK-AS-VN,36223,1,6,2,0,0,0,True
135934,Dong Thap Provincial Digital Transformation Center,VN,ICTDONGTHAP-AS-VN,39683,1,1,1,0,0,0,True
135935,Binh Minh Software Service Company Limited,VN,BINHMINH-VN,29173,1,8,2,0,0,0,True
135936,LABO A&B Joint Stock Company,VN,AIPACIFIC-AS-VN,39683,1,1,1,0,0,0,True
135937,Next Technology Investment and Development Company Limited,VN,NEXTTECH-AS-VN,39683,1,4,1,0,0,0,True
135938,Home Credit Viet nam Finance Company Limited,VN,HOMECREDIT-AS-VN,35029,1,4,3,0,0,0,True
135939,VNPT Electronic Payment Joint Stock Company,VN,VNPTEPAY-AS-VN,39683,1,4,1,0,0,0,True
135940,Nice Tech Center Vietnam Limited Company,VN,NICETECHCENTER-AS-VN,78608,1,0,0,0,0,0,False
135941,,VN,AS135941,78608,1,0,0,0,0,0,False
135942,Adsota Corporation,VN,ADSOTA-AS-VN,25121,1,10,2,0,0,0,True
135943,TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,VN,TMT-VN,5875,3,101,2,0,2,4,True
135944,VinhNam Commercial informatics service corporation,VN,VINACIS-AS-VN,17910,1,27,2,0,0,0,True
135945,VTC Online Joint Stock Company,VN,VTCONLINE-AS-VN,39683,1,4,1,0,0,0,True
135946,Long An Department of Information and Communications,VN,STTTTLA-AS-VN,39683,1,1,1,0,0,0,True
135947,Shopee Company Limited,VN,SHOPEE-VN,4500,5,34,3,0,4,7,True
135948,Thien Binh Software Service Company Limited,VN,S-TRADING-AS-VN,78608,1,0,0,0,0,0,False
135949,Cloudfone Viet Nam Joint Stock Company,VN,CLOUDFONE-AS-VN,39683,1,1,1,0,0,0,True
135950,Binh Duong E-Government Information Center,VN,ICTBINHDUONG-AS-VN,78608,1,0,0,0,0,0,False
135951,Webico Company Limited,VN,WEBICO-AS-VN,18020,1,28,2,0,0,0,True
135952,VPS Securities Joint Stock Company,VN,VPS-AS-VN,35029,1,4,3,0,0,0,True
135953,Vietnam Online Network Solution Joint Stock Compnay,VN,BKHOST-AS-VN,11391,2,5,1,0,1,2,True
135954,TNU Service Consulting Company Limited,VN,TVTNU-VN,78608,1,0,0,0,0,0,False
135955,Data integration and digital transformation center of Lam Dong province,VN,LAMDONGPORTAL-AS-VN,36223,1,1,2,0,0,0,True
135956,The Authority of Information Technology - Ministry of Health,VN,MOH-AS-VN,36223,1,3,2,0,0,0,True
135957,Hue City Smart Urban Monitoring and Operation Center,VN,EDIC-AS-VN,45422,1,3,2,0,0,0,True
135958,Teko Vietnam Technology Joint Stock Company,VN,TEKO-AS-VN,39683,1,4,1,0,0,0,True
135959,Onebim Vietnam Limited Company,VN,ONEBIM-AS-VN,39683,1,4,1,0,0,0,True
135960,,VN,AS135960,78608,1,0,0,0,0,0,False
135961,Viet Nam Data Online Joint Stock Company,VN,VDO-AS-VN,39683,1,1,1,0,0,0,True
135962,AIS Securitites Joint Stock Company,VN,AIS-AS-VN,60658,1,1,1,1,0,0,True
135963,Information Technology Center - Ministry of Home Affairs,VN,MOHA-VN,39683,1,1,1,0,0,0,True
135964,RVC Rong Viet Trade Service Telecom Company Limited,VN,RVC-AS-VN,7294,3,13,2,0,2,4,True
135965,VNPT Net Corporation - VNPT Group,VN,VNPT-NET-AS-VN,78608,1,0,0,0,0,0,False
135966,,VN,AS135966,78608,1,0,0,0,0,0,False
