asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member,topology_degree,topology_classification,betweenness_centrality,closeness_centrality
153507,VPBANK SECURITIES JSC,VN,VPBANKS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153532,Trung Tin Iron and Aluminum Company Limited,VN,TRUNGTINVPS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153534,CAO GIA NANOMEDECINE TECHNOLOGY JOINT STOCK COMPANY,AU,CNCAOGIA-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153535,HLC VIET NAM JOINT STOCK COMPANY,AU,HLC-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153536,Osie Cloud LLC,AU,OSIE-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153539,VIETNAM INTERNET NETWORK COMPANY NO. 1,AU,THUEMAYCHUVN-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153540,PITC Investment Joint Stock Company,VN,PITC-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153541,KIGI GROUP JOINT STOCK COMPANY,AU,KIGIGROUPCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153542,ECOAI Joint Stock Company,AU,CPECOAI-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153543,TECHNOLOGY AT YOUR HANDS COMPANY LIMITED,AU,VINAGPU-NET-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153544,VUTA VIET NAM COMPANY LIMITED,AU,VUTAVNCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153585,Gold Key Real Estate Investment Company Limited,VN,COMTER-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153586,BNIX CLOUD COMPANY LIMITED,VN,BXCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153591,LEEON TECHNOLOGY COMPANY LIMITED,VN,SKYX-VN,67211.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.322621
153592,TQT CLOUD SERVER ONE MEMBER COMPANY LIMITED,VN,TQT-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153616,Technology Bluesky Company Limited,VN,BLUESKY-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153617,MANH BANG ONE MEMBER COMPANY LIMITED,VN,MBC-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153635,URANUS TECHNOLOGY COMPANY LIMITED,VN,URANUS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153647,Viet Homes Furniture Manufacturing Company Limited,VN,OSERVER-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153649,Nguyenphonglong One Member Company Limited,VN,NPL-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153650,MEGAMAX VIET NAM TECHNOLOGY JOINT STOCK COMPANY,VN,MEGAMAX-VN,48776.0,1.0,2.0,3.0,0.0,0.0,0.0,True,3,Transit,0.000116,0.326739
153651,QPPF Company Limited,VN,QPPF-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.340652
153652,Duyen Tran Digital Technology Consulting Company Limited,VN,CNSDTND-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153653,TVQ Technology Trading & Services Company Limited,VN,CNTVQND-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153683,VIETNAM V2 INFORMATION SECURE JOINT STOCK COMPANY,VN,V2SECURE-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.266667
153713,AGRIBANK SECURITIES CORPORATION,VN,AGRISECO-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153732,Ho Chi Minh National Academy of Politics,VN,HCMA-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153741,"Lewu Tech Co., Ltd.",VN,LEWUTECH-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1,Stub,0.0,0.343624
153743,Anh Dao Phuc Technology Company Limited,VN,ADPTECH-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153750,GZ CORE COMPANY LIMITED,VN,GZCOREVN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153752,Le Gia Technology Company Limited,VN,LEGIA-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153762,TIEN DUNG INVESTMENT AND COMMERCE SERVICE COMPANY LIMITED,VN,TMDVDTTIENDUNG-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153763,DATA 360 TECHNOLOGY JOINT STOCK COMPANY,VN,CONGNGHEDATA360-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153780,PAYX Payment Company Limited,VN,PAYX-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153808,VNG CLOUD COMPANY LIMITED,VN,VNGCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153828,DTH CLOUD COMPUTING TECHNOLOGY COMPANY LIMITED,VN,DTHCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153829,Le Hong Technology Company Limited,VN,LEHONGCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153830,Upnet Technology Solutions Company Limited,VN,UPNET-VN,30631.0,1.0,3.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.283499
153831,Bao Khanh ICT Company Limited,VN,BAOKHANHICT-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153859,BIGSERVER COMPANY LIMITED,VN,BIGSERVER-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153860,Onepay Online Service and Commercial Joint Stock Company,VN,ONEPAY-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153872,AZVPS TECHNOLOGY COMPANY LIMITED,VN,AZVPS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153873,Comi Website Design Company Limited,VN,COMI-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153941,ESECURE SOLUTION LIMITED COMPANY,VN,ESSNET-VN,49862.0,1.0,1.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.365453
153958,WEB SERVER COMPANY LIMITED,VN,WEBSERVER-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153959,VMON Service Technology Company Limited,VN,VMON-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153976,Le Vu Technology Infrastructure Services Company Limited,VN,LEVUCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153982,Huong Ly Technology Company Limited,VN,HUONGLYCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153983,HIEUVPS TECHNOLOGY COMPANY LIMITED,VN,HIEUVPSCLOUD-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.284603
154003,NOBIDEV COMPANY LIMITED,VN,NOBIDEV-VN,67211.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.267363
154004,"Olahost Technology Co., Ltd.",VN,OLAHOST-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154016,AI APPLICATION SOFTWARE COMPANY LIMITED,VN,PHANMEMUNGDUNGAI-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154017,AI WEBSITE DESIGN SERVICES COMPANY LIMITED,VN,TKWEBSITEAI-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154042,NEXTZEN TECHNOLOGY JOIN STOCK COMPANY,VN,NEXTZEN-IDC-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154053,Hanoi National University of Education,VN,HNUE-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.313533
154070,TOTBRAIN COMPANY LIMITED,VN,TOTBRAIN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154082,"Cloud247 Tech Co., Ltd.",VN,TECH247-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154091,SAVING SOLUTION TECHNOLOGY CORPORATION,VN,SASOLTECH-VN,54093.0,1.0,2.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.245681
154105,ZALO PLATFORMS COMPANY LIMITED,VN,ZALOPLATFORMS-VN,54093.0,1.0,3.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.292237
154106,VNG ONLINE COMPANY LIMITED,VN,VNGONLINE-VN,54093.0,1.0,3.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.292237
154134,COMMERCIAL MOBILE INFORMATION TECHNOLOGY JOINT STOCK COMPANY,VN,CONEK-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154135,Contabo Company Limited,VN,CONTABO-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
154144,MOBIFONE DIGITAL PAYMENT JOINT STOCK COMPANY,VN,MDPC-VN,54093.0,1.0,2.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.335958
154247,MCO HA NOI TECHNOLOGY COMPANY LIMITED,VN,MCO-VN,67211.0,1.0,1.0,1.0,0.0,0.0,0.0,True,2,Multi-homed,0.00106,0.395672
154339,"Zyn Data Technology Solutions Co., Ltd.",VN,ZYNDATA-VN,,,,,,,,,2,Multi-homed,0.0,0.391138
154350,ATZ CORP JOINT STOCK COMPANY,VN,ATZCORP-VN,,,,,,,,,1,Stub,0.0,0.267363
154364,DCConnect Vietnam Company Limited,VN,DVCL-AS-AP,,,,,,,,,0,Stub,0.0,0.0
154388,ETC Technology System Joint Stock Company,VN,ETCJSC-VN,,,,,,,,,0,Stub,0.0,0.0
154389,N Group Investment Joint Stock Company,VN,NGROUP-VN,,,,,,,,,0,Stub,0.0,0.0
154406,VIETNAM MARITIME COMMUNICATION AND ELECTRONICS SINGLE-MEMBER LIMITED LIABILITY COMPANY,VN,VISHIPEL-VN,,,,,,,,,3,Transit,0.0,0.384962
154431,TICK PLATFORM JOINT STOCK COMPANY,VN,TICK-VN,,,,,,,,,0,Stub,0.0,0.0
154460,DHD TECHNOLOGY JOINT STOCK COMPANY,VN,DHD-VN,,,,,,,,,0,Stub,0.0,0.0
154491,,,,,,,,,,,,0,Stub,0.0,0.0
154546,,,,,,,,,,,,0,Stub,0.0,0.0
154552,,,,,,,,,,,,0,Stub,0.0,0.0
